RMSD,P-VALUE,INF,DI,MCQ,TM-SCORE,CAD,BARNABA,CLASH,GDT-TS,lDDT,QS-SCORE,DFIRE,rsRNASP,RASP,NAME
1.2383969913239982e-06,1.2220041359939993e-06,1.1580622156318544e-06,1.2433208520234362e-06,1.5463444997564374e-06,1.0690474594702445e-06,4.600864586606894e-06,1.1250639147795412e-06,8.375802312556763e-07,8.246728736723647e-07,1.4472520482632123e-06,1.0442427181597735e-06,1.1092032524328396e-06,1.8946262022731008e-06,1.4793310001274778e-06,rp04
1.0252054197878078e-06,1.008189195330855e-06,9.963047572143147e-07,1.0062194644473961e-06,1.4003341705728505e-06,1.051545776172148e-06,2.6459940963753185e-06,9.472664186019636e-07,8.158780647909036e-07,7.888636064708797e-07,1.1993852668016002e-06,1.0419894692743677e-06,9.032216085678032e-07,1.2691352100553196e-06,1.0313153034932865e-06,rp19
9.69842262219674e-07,9.375479635353375e-07,9.161551467853298e-07,9.457369405112584e-07,1.3995636642637127e-06,1.0223081810138141e-06,2.609879347194355e-06,9.743290747214666e-07,7.965406344102872e-07,8.069619865672758e-07,1.168705290416513e-06,1.0406951710668872e-06,9.388584206503485e-07,1.2268651751393162e-06,9.835635814917172e-07,rp14_bound
1.2310258218358567e-06,1.2177017219639072e-06,1.181969083793092e-06,1.2538081200350047e-06,1.2604581498413821e-06,1.0694333964016358e-06,3.685706394638094e-06,1.0710756266953684e-06,8.217571018647821e-07,8.12348874285173e-07,1.3303716185486107e-06,1.027669319960834e-06,1.026000838639237e-06,1.636000247952933e-06,1.1968399668687886e-06,rp08
1.1930237561919868e-06,1.1885527251694166e-06,1.0719222462006755e-06,1.186008184896237e-06,1.4511025744093505e-06,1.0784056987532726e-06,5.614698753687041e-06,1.221436628028086e-06,8.274338179265736e-07,8.248790206056947e-07,1.6110065053112758e-06,1.0453992470868248e-06,1.1553431432719265e-06,2.5506790984563316e-06,1.8180099247663872e-06,rp06
9.655667516700834e-07,9.48009227088751e-07,9.154911696664597e-07,9.535861952350282e-07,1.4330587584593904e-06,1.0260924731674084e-06,2.9185936472658627e-06,1.0114317549559707e-06,7.975530674655673e-07,8.397499289756613e-07,1.2316880789239704e-06,1.0182161956236139e-06,9.616108354800507e-07,1.2697423561813851e-06,1.0597420279053167e-06,rp09
9.509448194838911e-07,9.224092086183788e-07,9.125052634345659e-07,9.387964272364641e-07,1.045483856858183e-06,1.0309872142012075e-06,2.0523868552567644e-06,9.063534899427431e-07,8.425161142783357e-07,8.082374275732817e-07,1.160917013759714e-06,1.006788756194348e-06,9.134069514017333e-07,1.1292930919238258e-06,8.99793535589663e-07,rp21
1.176701681636322e-06,1.1652310101613392e-06,1.0953742978637012e-06,1.1607581170734136e-06,1.5357845788310862e-06,1.924204611329073e-06,3.6749736194996348e-06,1.1187166535112218e-06,7.936924029978005e-07,7.939007219734083e-07,2.170566466947187e-06,1.8878744502054652e-06,1.0233066912971957e-06,1.6164108533385563e-06,1.2108037553153407e-06,rp02
1.247495630634788e-06,1.2194874338624091e-06,1.1939879165941935e-06,1.2713444085584846e-06,1.5226509911781633e-06,1.0108271532271012e-06,3.906931220691351e-06,1.0794874222589989e-06,8.150013945872806e-07,8.14567124953635e-07,1.3337961664648632e-06,1.0359966558760558e-06,9.90521391791201e-07,1.5805269052013567e-06,1.2420606729610495e-06,rp12
1.0116288993560182e-06,1.025417892283264e-06,9.802424286369714e-07,1.0191042003294603e-06,1.4607632806122386e-06,1.0549279971676372e-06,2.7807366343145283e-06,9.72066726440254e-07,8.366277285670542e-07,8.099118775199557e-07,1.2095876306793709e-06,1.0401293743572366e-06,9.317716907361899e-07,1.3052835936733794e-06,1.023465515115647e-06,rp15
