RMSD,P-VALUE,INF,DI,MCQ,TM-SCORE,CAD,BARNABA,CLASH,GDT-TS,lDDT,QS-SCORE,DFIRE,rsRNASP,RASP,NAME
8.840988479464995e-07,9.236061795080741e-07,9.022649874573133e-07,9.114226550974556e-07,1.376941197141574e-06,1.0562768321688477e-06,1.938430121815054e-06,9.709152890521715e-07,8.198863423743574e-07,8.300664795281843e-07,1.165910364519177e-06,1.0188342322560385e-06,9.19744329349568e-07,1.125614434325399e-06,8.929061507701325e-07,1i6uD
8.500628217394962e-07,8.72764917929433e-07,8.442736047747098e-07,8.751637766621005e-07,1.0559782154352834e-06,1.0175357448899678e-06,1.5483820095163557e-06,9.261670635666474e-07,8.020403525428329e-07,8.470447221054547e-07,1.0992674731127442e-06,1.063981170012439e-06,8.878758044098321e-07,1.0315836219296061e-06,8.675074295335108e-07,1rlgD
1.5835740532758521e-06,1.5818902631231967e-06,1.6152814987267717e-06,1.5787101533107341e-06,1.1304447970590204e-06,1.5086261622866458e-06,1.5480113559799138e-05,1.9933115294525704e-06,8.744480453576768e-07,9.665047996482988e-07,3.349641342879926e-06,1.1901655878555107e-06,1.8222341240562902e-06,9.486558697994837e-06,6.796499469749638e-06,1fg0A
8.835708628453917e-07,8.896097785698599e-07,8.800014887361832e-07,8.354887345326004e-07,1.0085779816356633e-06,9.924676468527627e-07,1.6102802271304147e-06,8.923494446817896e-07,7.971391220487584e-07,8.253080293130665e-07,1.1007469365833824e-06,1.0284708143739555e-06,8.938425988159548e-07,1.0483927198904454e-06,8.586745746790106e-07,3fu4A
8.410296577181446e-07,8.522815264779156e-07,8.686100325031089e-07,8.460312025507725e-07,1.0119451346102693e-06,1.0075518075986948e-06,1.5273428344323658e-06,9.002921417094433e-07,7.969909698627343e-07,7.793990946413894e-07,1.0800646637655233e-06,1.0381752738008316e-06,8.50196009826296e-07,1.0544103884537526e-06,8.41621022708061e-07,2anrB
9.007199593096119e-07,8.892906497266399e-07,9.336529818828716e-07,9.220929470406406e-07,9.763143293384344e-07,1.0499364037930324e-06,2.7513825295125283e-06,1.008597465236663e-06,7.998203143922289e-07,8.140856985047621e-07,1.2217561835885582e-06,1.0392658268241248e-06,9.465753285892984e-07,1.2696235628285026e-06,9.96864742137907e-07,2dlcY
9.71462903978441e-07,9.673680914941334e-07,9.437014266902523e-07,9.912732871981974e-07,1.4336316390185143e-06,1.0651889508680541e-06,3.195220481421618e-06,1.0044147662041837e-06,8.245526460005998e-07,8.101529987482463e-07,1.2570359031106457e-06,1.0478145689444094e-06,9.914636071371562e-07,1.4150082249849623e-06,1.131832272765535e-06,2hooA
1.1462663146553762e-06,1.1583727341745142e-06,1.137163482141819e-06,1.1163053168153971e-06,1.0689009814567567e-06,1.0867181680452485e-06,6.265272982845023e-06,1.2618298919853276e-06,8.140697574419478e-07,8.19313569437996e-07,1.6383015765978958e-06,1.0799608739970947e-06,1.2173085012303908e-06,2.8015843084991386e-06,2.067569711144504e-06,3dj2A
9.483925679324971e-07,9.406028781342161e-07,9.191068862985476e-07,9.626228209110569e-07,1.4093853299297475e-06,1.0188578987880278e-06,2.6113921064001706e-06,9.680544359265686e-07,8.232551438841582e-07,8.003525893609401e-07,1.1953610033263285e-06,1.020460828251233e-06,9.541393105254564e-07,1.1908226136988694e-06,9.53994115678683e-07,1qa6D
1.0067154971019155e-06,9.776676889148143e-07,9.455450030909143e-07,9.831948596722895e-07,1.0160639677463467e-06,1.0640100679868689e-06,2.526871972523762e-06,9.616888164284213e-07,8.071062554547633e-07,8.054241616812616e-07,1.1786760554779497e-06,1.026844864115333e-06,9.253329217541149e-07,1.2419123777839013e-06,1.0386009284035948e-06,2hvyE
