,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost
normalized_14_DasPostExp_10_rpr.pdb,9.769,1.0475398326548202e-11,0.814,0.922,0.791,0.779,12.004,21.59,0.305,0.385,0.23,0.311,0.426,0.574,0.785,-28959.0,300127.0,-0.096,0.0,1.018,1.158,1.553,-46393.92,-6732.511,0.674,0.301
normalized_14_BujnickiPreExp_6_rpr.pdb,10.926,6.969851917837389e-10,0.829,0.89,0.791,0.814,13.182,19.01,0.361,0.471,0.262,0.443,0.525,0.656,0.787,-24992.9,332620.0,-0.075,0.0,1.149,1.148,1.253,-46443.604,-7179.012,0.697,0.388
normalized_14_ChenPostExp_9_rpr.pdb,11.002,9.05153285657434e-10,0.745,0.97,0.204,0.731,14.758,20.34,0.314,0.393,0.23,0.361,0.426,0.557,,-24269.9,250972.0,-0.097,,1.111,1.223,1.264,-37653.998,-5083.547,0.603,0.313
normalized_14_DingPostExp_1_rpr.pdb,11.255,2.1306036379620244e-09,0.665,0.97,0.0,0.639,16.914,23.48,0.215,0.283,0.131,0.23,0.311,0.459,0.71,-23764.0,312686.0,-0.076,0.0,1.152,1.484,1.058,-44152.191,-4632.775,0.529,0.237
normalized_14_ChenPostExp_7_rpr.pdb,11.26,2.165199963766184e-09,0.721,0.97,0.354,0.675,15.614,23.4,0.325,0.406,0.246,0.361,0.41,0.607,,-20166.5,268126.0,-0.075,,1.181,1.365,1.125,-38116.753,-5433.281,0.547,0.323
normalized_14_DasPreExp_2_rpr.pdb,11.568,6.0086698949746165e-09,0.772,0.9,0.632,0.745,14.977,18.74,0.298,0.373,0.197,0.328,0.426,0.541,0.772,-29248.1,302220.0,-0.097,0.0,1.227,1.222,1.591,-47274.011,-6967.888,0.661,0.297
normalized_14_DasPostExp_7_rpr.pdb,11.568,6.0086698949746165e-09,0.772,0.9,0.632,0.745,14.977,18.74,0.298,0.373,0.197,0.328,0.426,0.541,0.772,-29248.1,302220.0,-0.097,0.0,1.227,1.222,1.591,-47274.011,-6967.888,0.661,0.297
normalized_14_DasPostExp_2_rpr.pdb,11.694,9.018328417376154e-09,0.808,0.9,0.791,0.779,14.467,21.18,0.29,0.389,0.197,0.361,0.41,0.59,0.79,-27161.4,338543.0,-0.08,0.0,1.234,1.053,1.538,-47608.051,-7521.969,0.704,0.288
normalized_14_BujnickiPostExp_5_rpr.pdb,11.73,1.0126435079360618e-08,0.716,0.89,0.707,0.653,16.376,25.92,0.275,0.344,0.147,0.262,0.426,0.541,0.697,-21783.0,298347.0,-0.073,0.0,1.212,1.33,1.264,-42122.634,-5590.944,0.554,0.279
normalized_14_DasPostExp_5_rpr.pdb,11.854,1.505553465230847e-08,0.747,0.89,0.722,0.696,15.878,19.43,0.292,0.365,0.197,0.311,0.393,0.557,0.797,-28588.8,305758.0,-0.094,0.0,1.254,1.101,1.509,-45715.265,-6956.59,0.691,0.27
normalized_14_DasPreExp_7_rpr.pdb,11.881,1.637833696443991e-08,0.803,0.922,0.722,0.77,14.797,20.27,0.291,0.369,0.197,0.328,0.41,0.541,0.769,-26311.4,315217.0,-0.083,0.0,1.28,1.138,1.477,-46344.625,-6341.732,0.675,0.29
normalized_14_DingPostExp_8_rpr.pdb,11.965,2.139420302027517e-08,0.699,0.97,0.0,0.681,17.113,22.06,0.236,0.332,0.131,0.213,0.344,0.639,0.692,-24671.5,260502.0,-0.095,0.0,1.224,1.373,1.13,-40519.259,-4657.53,0.538,0.301
normalized_14_DingPostExp_2_rpr.pdb,12.147,3.7619643455943936e-08,0.699,0.97,0.0,0.671,17.372,23.24,0.233,0.316,0.147,0.23,0.328,0.557,0.681,-25238.5,269151.0,-0.094,0.0,1.249,1.388,1.264,-41777.642,-5135.994,0.499,0.321
normalized_14_DasPostExp_6_rpr.pdb,12.431,8.922472644057322e-08,0.819,0.946,0.75,0.784,15.173,21.76,0.287,0.365,0.18,0.344,0.41,0.525,0.786,-26987.9,321637.0,-0.084,0.0,1.283,1.161,1.593,-47353.252,-7480.687,0.668,0.287
normalized_14_DasPreExp_1_rpr.pdb,12.431,8.922472644057322e-08,0.819,0.946,0.75,0.784,15.173,21.76,0.287,0.365,0.18,0.344,0.41,0.525,0.786,-26987.9,321637.0,-0.084,0.0,1.283,1.161,1.593,-47353.252,-7480.687,0.668,0.287
